Log likelihood at zeros:[-36622.92847078]
Initial log likelihood:[-36622.92847078]
Final log likelihood:-31511.120038356883
rho squared=[0.13957946]
adjusted rho squared=[0.1393064]
AIC=63042.240076713766
BIC=63119.918473073165
Parameter	Estimate	s.e.	t-ratio0	p-value	Rob s.e.	Rob t-ratio0	Rob p-value
alpha_acc	0.627	0.262	2.396	0.017	0.274	2.288	0.022
alpha_dec	-6.144	2.575	-2.386	0.017	3.161	-1.944	0.052
beta_acc	-0.045	0.077	-0.579	0.562	0.086	-0.523	0.601
beta_dec	-0.096	0.075	-1.291	0.197	0.068	-1.428	0.153
gamma_acc	0.049	0.11	0.443	0.657	0.121	0.403	0.687
gamma_dec	0.644	0.128	5.032	0.0	0.145	4.452	0.0
lamda_acc	0.578	0.047	12.232	0.0	0.05	11.532	0.0
lamda_dec	0.595	0.063	9.477	0.0	0.061	9.721	0.0
sigma_acc	0.373	0.007	52.589	0.0	0.01	37.663	0.0
sigma_dec	0.403	0.008	49.322	0.0	0.011	36.572	0.0
