alpha_acc,alpha_dec,gamma_acc,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0
-0.11480938822199871,0.14075305040504738,0.0,0.0,0.0,-0.04953905087958809,-0.14196473459212344
-0.1539995456277089,0.1927800064841164,-0.009970805924824253,0.014657937183787944,0.018654224781840083,-0.04450464398750735,-0.09847390139669981
-0.17620092890699063,0.2065084392345885,-0.011263308657168482,0.11221779149445352,0.1378422677777231,-0.03818166009123966,-0.09856714095035107
-0.1694404235119482,0.2229133028334748,-0.005431363938566003,0.16868756007085606,0.19121836450545274,-0.07027813908450872,-0.09071638552296853
-0.15771838644315345,0.23603259508578536,-0.004497241801674831,0.20023097421115332,0.18661243984987505,-0.06300373304418838,-0.09275747677119305
-0.16095366349796328,0.23563372667865315,-0.014526698204544816,0.24298996128807923,0.1716459136165105,-0.06413702133907043,-0.09315023240123932
-0.21401160168484668,0.2135073214073274,0.0953888177557792,0.341753478238053,0.12431645254911998,-0.06103327211883288,-0.07921197678399029
-0.2770611240090959,0.22779042159725726,0.11360477385886669,0.6495393129762634,0.22072226633918673,-0.06520990059606274,-0.09422127261356009
-0.47523702019184055,0.25740094120451873,0.399481652205084,1.1172960931562574,0.5535586723121535,-0.06740342412473017,-0.14355241888185025
-0.5124241806362645,0.2359083772858011,0.4282209071577443,1.2711810976612812,0.5229934461160165,-0.07053663341249257,-0.14419378454670984
-0.5502276370089171,0.22104606111849182,0.48602839018318666,1.2988344789561201,0.5277211562683274,-0.069698402194363,-0.141856418930843
-0.5972537755001854,0.21863688348746393,0.5292077365437209,1.3721785892481402,0.585115031346323,-0.06849397514703662,-0.13655773395928084
-0.6427799134286559,0.21452370203153773,0.5550050798338604,1.3933188072579645,0.6529383795438588,-0.06663498391916194,-0.13498542610225853
-0.6993601694365243,0.20553553644426154,0.5663836173389641,1.35897212725706,0.7330723864802239,-0.06587907853709145,-0.13402743636193684
-0.7681621981121058,0.19298556175516612,0.5592683749184023,1.260888890705103,0.8111355091083204,-0.06704703225478932,-0.13396142689322432
-0.8323298527480769,0.18575921332343198,0.5592422628304144,1.179625417333167,0.8468960434873677,-0.06940238704670289,-0.1348966370764461
-0.9342984738715692,0.18234409909170451,0.5782140767916432,1.1058184043770907,0.8575571311428709,-0.07235855690364143,-0.13650675717066524
-1.0946969823198445,0.1856004726366297,0.6173079148484707,1.0404965975537315,0.8249784643919466,-0.07510182570588464,-0.13838695319573355
-1.3615420018436666,0.2000847734006853,0.6864464375904284,0.9926789274799728,0.7145728085401001,-0.07702623591820543,-0.14042960262736562
-1.6502548291465473,0.22327117392912954,0.7465903957210035,0.9911717574340475,0.552873536258785,-0.07596526395088724,-0.1408264829813909
-1.8229505262241865,0.224260276883049,0.8095658142094857,1.0818240449381067,0.5387968030012908,-0.074985935246903,-0.13955828164845832
-2.0282609470165935,0.22619283311873498,0.8512439738024596,1.1883150520107528,0.5416145665778577,-0.0723818212062166,-0.13664998428866978
-2.4565604092847853,0.2228648624467249,0.9464626176239624,1.2798851547162369,0.5980672474471268,-0.07191202211444231,-0.13467888265759068
-2.8874486745907864,0.22051090693376374,1.0055634851233555,1.2965268990877532,0.6227903370589302,-0.07232112611729961,-0.13524951314911002
-3.6291704058559615,0.2161863335375735,1.0703261307154295,1.2506779682517304,0.6406377923587916,-0.07415936528368472,-0.13669423491955518
-4.362646449344823,0.2138461602207524,1.107914062872984,1.1834089399362813,0.6414474646063524,-0.07624826347303215,-0.13790071034127888
-5.381925336822355,0.21504488345669115,1.1966572554535466,1.1583243469130207,0.6237346620142973,-0.07749674597266089,-0.13808458920889566
-5.723894216412493,0.21529894274125996,1.2036987982532863,1.1587189895682997,0.6204093867550117,-0.07731349403496483,-0.1382516656202806
-6.590139010005562,0.21601627683529243,1.2561047322249508,1.1850428260754096,0.6180549822535559,-0.07698146861833433,-0.13800825329621316
-7.563556206297225,0.21679939923895533,1.314912896815372,1.208860269529017,0.6199593434745176,-0.07636951989585601,-0.13738387981373096
-8.169145260924768,0.21719708317587014,1.3410946796557754,1.2280697121337856,0.6236846974174877,-0.07580717555626132,-0.1368904327630946
-8.941344262120774,0.2171994045874659,1.3775431944293304,1.2238184544491952,0.6224175097032395,-0.07585027844294925,-0.13700971934136405
-9.133094769276378,0.21689678368127815,1.3799565192195116,1.2146099410393765,0.6212180692770485,-0.07612768175042357,-0.1372736137384997
-9.364230702833678,0.2166568884147583,1.38742273450982,1.2108282628018205,0.6211974499542682,-0.07633824918095422,-0.13740608388748202
-9.439233813562065,0.2166355112554782,1.3902804205169232,1.2113755652974079,0.6214255075635307,-0.07633744819446658,-0.13740033280385328
-9.47205903539738,0.21666012780550314,1.3916631536829587,1.2120476485070721,0.6214836761218213,-0.07631355727492499,-0.13738231527283193
-9.471940385548889,0.21666937309129963,1.3916872715758222,1.2122156501642678,0.6214759132597115,-0.07630678483339294,-0.13737774474174194
-9.470069267013033,0.2166739555596086,1.3916256853473494,1.212289235355195,0.621469819695338,-0.07630356711613168,-0.1373755702296519
-9.468274326456736,0.21667504129172868,1.3915620026696012,1.2123091649539712,0.621472539920263,-0.07630263362670923,-0.137374943961395
-9.46715215168775,0.21667539758517057,1.3915193441017661,1.2123116671330258,0.6214703707819288,-0.07630253454761458,-0.13737489658280327
-9.467151331892763,0.21667464761285193,1.391517204470987,1.2122888997707368,0.6214693566837196,-0.07630317637304326,-0.13737534324891748
-9.467366847509398,0.21667341396290085,1.3915222370544604,1.2122512137077632,0.621465471172465,-0.07630439178656989,-0.13737615649274498
-9.46750126291876,0.21667178120973238,1.3915175209334054,1.212215059072118,0.621464332048488,-0.07630567575027053,-0.1373769576488306
-9.467501263662049,0.2166717812034533,1.3915175209332642,1.2122150589532836,0.6214643320568309,-0.07630567575436781,-0.13737695765172628
-0.11480938822199871,0.14075305040504738,0.0,0.0,0.0,-0.04953905087958809,-0.14196473459212344
-0.1539995456277089,0.1927800064841164,-0.009970805924824253,0.014657937183787944,0.018654224781840083,-0.04450464398750735,-0.09847390139669981
-0.17620092890699063,0.2065084392345885,-0.011263308657168482,0.11221779149445352,0.1378422677777231,-0.03818166009123966,-0.09856714095035107
-0.1694404235119482,0.2229133028334748,-0.005431363938566003,0.16868756007085606,0.19121836450545274,-0.07027813908450872,-0.09071638552296853
-0.15771838644315345,0.23603259508578536,-0.004497241801674831,0.20023097421115332,0.18661243984987505,-0.06300373304418838,-0.09275747677119305
-0.16095366349796328,0.23563372667865315,-0.014526698204544816,0.24298996128807923,0.1716459136165105,-0.06413702133907043,-0.09315023240123932
-0.21401160168484668,0.2135073214073274,0.0953888177557792,0.341753478238053,0.12431645254911998,-0.06103327211883288,-0.07921197678399029
-0.2770611240090959,0.22779042159725726,0.11360477385886669,0.6495393129762634,0.22072226633918673,-0.06520990059606274,-0.09422127261356009
-0.47523702019184055,0.25740094120451873,0.399481652205084,1.1172960931562574,0.5535586723121535,-0.06740342412473017,-0.14355241888185025
-0.5124241806362645,0.2359083772858011,0.4282209071577443,1.2711810976612812,0.5229934461160165,-0.07053663341249257,-0.14419378454670984
-0.5502276370089171,0.22104606111849182,0.48602839018318666,1.2988344789561201,0.5277211562683274,-0.069698402194363,-0.141856418930843
-0.5972537755001854,0.21863688348746393,0.5292077365437209,1.3721785892481402,0.585115031346323,-0.06849397514703662,-0.13655773395928084
-0.6427799134286559,0.21452370203153773,0.5550050798338604,1.3933188072579645,0.6529383795438588,-0.06663498391916194,-0.13498542610225853
-0.6993601694365243,0.20553553644426154,0.5663836173389641,1.35897212725706,0.7330723864802239,-0.06587907853709145,-0.13402743636193684
-0.7681621981121058,0.19298556175516612,0.5592683749184023,1.260888890705103,0.8111355091083204,-0.06704703225478932,-0.13396142689322432
-0.8323298527480769,0.18575921332343198,0.5592422628304144,1.179625417333167,0.8468960434873677,-0.06940238704670289,-0.1348966370764461
-0.9342984738715692,0.18234409909170451,0.5782140767916432,1.1058184043770907,0.8575571311428709,-0.07235855690364143,-0.13650675717066524
-1.0946969823198445,0.1856004726366297,0.6173079148484707,1.0404965975537315,0.8249784643919466,-0.07510182570588464,-0.13838695319573355
-1.3615420018436666,0.2000847734006853,0.6864464375904284,0.9926789274799728,0.7145728085401001,-0.07702623591820543,-0.14042960262736562
-1.6502548291465473,0.22327117392912954,0.7465903957210035,0.9911717574340475,0.552873536258785,-0.07596526395088724,-0.1408264829813909
-1.8229505262241865,0.224260276883049,0.8095658142094857,1.0818240449381067,0.5387968030012908,-0.074985935246903,-0.13955828164845832
-2.0282609470165935,0.22619283311873498,0.8512439738024596,1.1883150520107528,0.5416145665778577,-0.0723818212062166,-0.13664998428866978
-2.4565604092847853,0.2228648624467249,0.9464626176239624,1.2798851547162369,0.5980672474471268,-0.07191202211444231,-0.13467888265759068
-2.8874486745907864,0.22051090693376374,1.0055634851233555,1.2965268990877532,0.6227903370589302,-0.07232112611729961,-0.13524951314911002
-3.6291704058559615,0.2161863335375735,1.0703261307154295,1.2506779682517304,0.6406377923587916,-0.07415936528368472,-0.13669423491955518
-4.362646449344823,0.2138461602207524,1.107914062872984,1.1834089399362813,0.6414474646063524,-0.07624826347303215,-0.13790071034127888
-5.381925336822355,0.21504488345669115,1.1966572554535466,1.1583243469130207,0.6237346620142973,-0.07749674597266089,-0.13808458920889566
-5.723894216412493,0.21529894274125996,1.2036987982532863,1.1587189895682997,0.6204093867550117,-0.07731349403496483,-0.1382516656202806
-6.590139010005562,0.21601627683529243,1.2561047322249508,1.1850428260754096,0.6180549822535559,-0.07698146861833433,-0.13800825329621316
-7.563556206297225,0.21679939923895533,1.314912896815372,1.208860269529017,0.6199593434745176,-0.07636951989585601,-0.13738387981373096
-8.169145260924768,0.21719708317587014,1.3410946796557754,1.2280697121337856,0.6236846974174877,-0.07580717555626132,-0.1368904327630946
-8.941344262120774,0.2171994045874659,1.3775431944293304,1.2238184544491952,0.6224175097032395,-0.07585027844294925,-0.13700971934136405
-9.133094769276378,0.21689678368127815,1.3799565192195116,1.2146099410393765,0.6212180692770485,-0.07612768175042357,-0.1372736137384997
-9.364230702833678,0.2166568884147583,1.38742273450982,1.2108282628018205,0.6211974499542682,-0.07633824918095422,-0.13740608388748202
-9.439233813562065,0.2166355112554782,1.3902804205169232,1.2113755652974079,0.6214255075635307,-0.07633744819446658,-0.13740033280385328
-9.47205903539738,0.21666012780550314,1.3916631536829587,1.2120476485070721,0.6214836761218213,-0.07631355727492499,-0.13738231527283193
-9.471940385548889,0.21666937309129963,1.3916872715758222,1.2122156501642678,0.6214759132597115,-0.07630678483339294,-0.13737774474174194
-9.470069267013033,0.2166739555596086,1.3916256853473494,1.212289235355195,0.621469819695338,-0.07630356711613168,-0.1373755702296519
-9.468274326456736,0.21667504129172868,1.3915620026696012,1.2123091649539712,0.621472539920263,-0.07630263362670923,-0.137374943961395
-9.46715215168775,0.21667539758517057,1.3915193441017661,1.2123116671330258,0.6214703707819288,-0.07630253454761458,-0.13737489658280327
-9.467151331892763,0.21667464761285193,1.391517204470987,1.2122888997707368,0.6214693566837196,-0.07630317637304326,-0.13737534324891748
-9.467366847509398,0.21667341396290085,1.3915222370544604,1.2122512137077632,0.621465471172465,-0.07630439178656989,-0.13737615649274498
-9.46750126291876,0.21667178120973238,1.3915175209334054,1.212215059072118,0.621464332048488,-0.07630567575027053,-0.1373769576488306
