Log likelihood at zeros:[-11411.99612266]
Initial log likelihood:[-6968.1528704]
Final log likelihood:-6924.286182050368
rho squared=[0.39324496]
adjusted rho squared=[0.39166767]
AIC=13884.572364100735
BIC=14022.062654102081
Parameter	Estimate	s.e.	t-ratio0	p-value	Rob s.e.	Rob t-ratio0	Rob p-value
bc_acc	-0.636	0.096	-6.596	0.0	0.118	-5.394	0.0
bc_dec	-0.386	0.099	-3.891	0.0	0.116	-3.33	0.001
b_speed_c1	1.016	0.074	13.804	0.0	0.086	11.858	0.0
b_speed_c2	-1.133	0.086	-13.225	0.0	0.095	-11.985	0.0
alpha_acc	0.701	0.244	2.876	0.004	0.291	2.409	0.016
alpha_dec	1.007	0.215	4.691	0.0	0.253	3.975	0.0
beta_acc	0.61	0.1	6.082	0.0	0.115	5.307	0.0
beta_dec	0.267	0.091	2.92	0.004	0.102	2.615	0.009
gamma_acc	0.944	0.11	8.56	0.0	0.115	8.189	0.0
gamma_dec	1.033	0.114	9.047	0.0	0.115	8.997	0.0
lamda_acc_p	0.994	0.081	12.227	0.0	0.078	12.677	0.0
lamda_dec_n	1.282	0.088	14.622	0.0	0.096	13.413	0.0
dn	-0.001	0.003	-0.329	0.742	0.004	-0.271	0.786
sigma_acc	-0.144	0.013	-10.716	0.0	0.013	-10.79	0.0
sigma_dec	-0.072	0.013	-5.588	0.0	0.017	-4.234	0.0
sigma_dn	-2.638	0.038	-69.538	0.0	0.076	-34.803	0.0
b_space_headway_c1	0.027	0.004	6.735	0.0	0.004	6.042	0.0
b_space_headway_c2	0.021	0.004	4.9	0.0	0.004	4.724	0.0
