Log likelihood at zeros:[-11411.99612266]
Initial log likelihood:[-11411.99612266]
Final log likelihood:-6968.1367734670885
rho squared=[0.38940246]
adjusted rho squared=[0.38800043]
AIC=13968.273546934177
BIC=14090.487138046485
Parameter	Estimate	s.e.	t-ratio0	p-value	Rob s.e.	Rob t-ratio0	Rob p-value
bc_acc	-0.094	0.057	-1.643	0.1	0.074	-1.278	0.201
bc_dec	0.033	0.056	0.58	0.562	0.075	0.438	0.662
b_speed_c1	0.962	0.068	14.065	0.0	0.077	12.457	0.0
b_speed_c2	-1.066	0.081	-13.199	0.0	0.087	-12.251	0.0
alpha_acc	0.483	0.24	2.01	0.044	0.293	1.649	0.099
alpha_dec	0.946	0.215	4.397	0.0	0.258	3.671	0.0
beta_acc	0.615	0.099	6.188	0.0	0.114	5.421	0.0
beta_dec	0.266	0.092	2.91	0.004	0.102	2.615	0.009
gamma_acc	0.866	0.109	7.926	0.0	0.116	7.484	0.0
gamma_dec	1.007	0.114	8.793	0.0	0.117	8.624	0.0
lamda_acc_p	0.965	0.08	12.105	0.0	0.079	12.235	0.0
lamda_dec_n	1.276	0.088	14.579	0.0	0.096	13.249	0.0
dn	-0.001	0.003	-0.393	0.694	0.004	-0.324	0.746
sigma_acc	-0.147	0.013	-10.899	0.0	0.013	-11.057	0.0
sigma_dec	-0.071	0.013	-5.533	0.0	0.017	-4.198	0.0
sigma_dn	-2.631	0.038	-69.862	0.0	0.074	-35.474	0.0
